"id","name","description","currency","cost","cost_display","cost_mantissa","cost_exponent","col","row","prerequisite_ids","prerequisite_ranks","ascension_prerequisite_id","unlock_condition","effect_type","target_ids","operation","value","max_rank","cost_mult","secondary_effect","group","branch","level","stage","requires_big_number"
"talent_reset","重置·升华","重置本轮[color=#67E9F8][b]普通天赋[/b][/color]并进行[color=#67E9F8][b]升华[/b][/color]，结算本次可获得的[color=#67E9F8][b]升华点[/b][/color]与[color=#67E9F8][b]声望[/b][/color]。","金币","0","0","0","0","0","0","","","","始终可见","PRESTIGE_RESET","normal_run","RESET","1","1","1","升华点 = floor(cbrt(累计金币 / 1e6))，升华时领取差值；每点升华点提供 +1% 金币获取（计入声望）","核心","prestige","Root","核心","false"
"pickaxe_root","稿子精通","解锁[color=#67E9F8][b]稿子升级[/b][/color]链。","金币","100","100","1","2","0","-1","","","","开局可见","PICKAXE_UPGRADE","pickaxe","UNLOCK","1","1","1","","稿子","pickaxe","1","本轮核心","false"
"pickaxe_dmg","稿子·锋利","[color=#67E9F8][b]稿子基础伤害[/b][/color] [color=#86EFAC][b]+2×等级[/b][/color]。","金币","500","500","5","2","0","-2","pickaxe_root","1","","","PICKAXE_DAMAGE_FLAT","pickaxe","ADD","2*level","5","5","","稿子","pickaxe","2","本轮核心","false"
"pickaxe_crit","稿子·精准","[color=#67E9F8][b]暴击几率[/b][/color] [color=#86EFAC][b]+3%×等级[/b][/color]。","金币","1000","1K","1","3","0","-3","pickaxe_root","1","","","PICKAXE_CRIT_CHANCE","pickaxe","ADD","0.03*level","5","5","","稿子","pickaxe","3","本轮核心","false"
"pickaxe_crit_dmg","稿子·重击","[color=#67E9F8][b]暴击伤害[/b][/color] [color=#86EFAC][b]+20%×等级[/b][/color]。","金币","2500","2.5K","2.5","3","0","-4","pickaxe_crit","1","","","PICKAXE_CRIT_DAMAGE","pickaxe","ADD","0.2*level","5","5","","稿子","pickaxe","4","本轮核心","false"
"pickaxe_range","稿子·延伸","[color=#67E9F8][b]稿子作用范围[/b][/color] [color=#86EFAC][b]+2×等级[/b][/color] 像素。","金币","5000","5K","5","3","0","-5","pickaxe_dmg","1","","","PICKAXE_AOE","pickaxe","ADD","2*level","5","5","","稿子","pickaxe","5","本轮核心","false"
"pickaxe_extra","稿子·连击","[color=#67E9F8][b]额外攻击几率[/b][/color] [color=#86EFAC][b]+10%×等级[/b][/color]。","金币","10000","10K","1","4","0","-6","pickaxe_range","1","","","PICKAXE_EXTRA_HIT","pickaxe","ADD","0.1*level","5","5","","稿子","pickaxe","6","本轮核心","false"
"coin_bonus","金币收益","[color=#67E9F8][b]全局金币获取[/b][/color] [color=#86EFAC][b]+15%×等级[/b][/color]。","金币","100","100","1","2","-1","0","","","","开局可见","GLOBAL_COIN_MULT","all","ADD","0.15*level","5","5","","金币收益","coin","1","本轮核心","false"
"dirt_synergy","土质丰饶","每放置 1 个 [color=#67E9F8][b]dirt 地块[/b][/color]，全局产值 [color=#86EFAC][b]+1%×等级[/b][/color]。","金币","1000","1K","1","3","-2","0","coin_bonus","1","","","SYNERGY_PER_TILE","dirt","ADD","0.01*level","5","5","","金币收益","coin","2","本轮核心","false"
"stone_synergy","石脉煤矿","每放置 1 个 [color=#67E9F8][b]stone 地块[/b][/color]，[color=#67E9F8][b]coal 产值[/b][/color] [color=#86EFAC][b]+2%×等级[/b][/color]。","金币","2500","2.5K","2.5","3","-2","1","coin_bonus","1","","","SYNERGY_PER_TILE","stone","ADD","0.02*level","5","5","","金币收益","coin","3","本轮核心","false"
"grass_synergy","草地点金","每放置 1 个 [color=#67E9F8][b]grass 地块[/b][/color]，[color=#67E9F8][b]gold 产值[/b][/color] [color=#86EFAC][b]+2%×等级[/b][/color]。","金币","25000","25K","2.5","4","-3","0","dirt_synergy","1","","","SYNERGY_PER_TILE","grass","ADD","0.02*level","5","5","","金币收益","coin","4","本轮核心","false"
"water_synergy","水域沉宝","每放置 1 个 [color=#67E9F8][b]water 地块[/b][/color]，全局[color=#67E9F8][b]沉没返还[/b][/color] [color=#86EFAC][b]+0.5%×等级[/b][/color]。","金币","50000","50K","5","4","-3","1","stone_synergy","1","","","SYNERGY_PER_TILE","water","ADD","0.005*level","5","5","","金币收益","coin","5","本轮核心","false"
"ore_value_global","落矿收益","[color=#67E9F8][b]矿石结算价值[/b][/color] [color=#86EFAC][b]+10%×等级[/b][/color]。","金币","100000","100K","1","5","-4","0","coin_bonus","1","","","GLOBAL_ORE_VALUE_MULT","all","ADD","0.1*level","5","5","","金币收益","coin","Cap","升华扩展 I","false"
"tile_dirt","土地开拓","[color=#67E9F8][b]dirt 地块[/b][/color]解锁；L2~5 dirt 相关效果 [color=#86EFAC][b]×2/级[/b][/color]。","金币","0","0","0","0","0","1","","","","","UNLOCK_TILE_BEHAVIOR","dirt","MULTIPLY","2^(level-1)","5","10","","地块","dirt","1","本轮核心","false"
